PERMNO,HdrCUSIP,Ticker,PERMCO,DlyCalDt,DlyPrc,DlyRet,DlyRetx
13407,30303M10,FB,54084,2012-05-18,38.231800,,
13407,30303M10,FB,54084,2012-05-21,34.030000,-0.109903,-0.109903
13407,30303M10,FB,54084,2012-05-22,31.000000,-0.089039,-0.089039
13407,30303M10,FB,54084,2012-05-23,32.000000,0.032258,0.032258
13407,30303M10,FB,54084,2012-05-24,33.030000,0.032188,0.032188
13407,30303M10,FB,54084,2012-05-25,31.910000,-0.033909,-0.033909
13407,30303M10,FB,54084,2012-05-29,28.840000,-0.096208,-0.096208
13407,30303M10,FB,54084,2012-05-30,28.190000,-0.022538,-0.022538
13407,30303M10,FB,54084,2012-05-31,29.600000,0.050018,0.050018
13407,30303M10,FB,54084,2012-06-01,27.720000,-0.063514,-0.063514
13407,30303M10,FB,54084,2012-06-04,26.900000,-0.029582,-0.029582
13407,30303M10,FB,54084,2012-06-05,25.869000,-0.038327,-0.038327
13407,30303M10,FB,54084,2012-06-06,26.810000,0.036376,0.036376
13407,30303M10,FB,54084,2012-06-07,26.310000,-0.018650,-0.018650
13407,30303M10,FB,54084,2012-06-08,27.100000,0.030027,0.030027
13407,30303M10,FB,54084,2012-06-11,27.005000,-0.003506,-0.003506
13407,30303M10,FB,54084,2012-06-12,27.400000,0.014627,0.014627
13407,30303M10,FB,54084,2012-06-13,27.270000,-0.004745,-0.004745
13407,30303M10,FB,54084,2012-06-14,28.290000,0.037404,0.037404
13407,30303M10,FB,54084,2012-06-15,30.014000,0.060940,0.060940
13407,30303M10,FB,54084,2012-06-18,31.410000,0.046512,0.046512
13407,30303M10,FB,54084,2012-06-19,31.911000,0.015950,0.015950
13407,30303M10,FB,54084,2012-06-20,31.600000,-0.009746,-0.009746
13407,30303M10,FB,54084,2012-06-21,31.840000,0.007595,0.007595
13407,30303M10,FB,54084,2012-06-22,33.050000,0.038003,0.038003
13407,30303M10,FB,54084,2012-06-25,32.060000,-0.029955,-0.029955
13407,30303M10,FB,54084,2012-06-26,33.100000,0.032439,0.032439
13407,30303M10,FB,54084,2012-06-27,32.230000,-0.026284,-0.026284
13407,30303M10,FB,54084,2012-06-28,31.360000,-0.026993,-0.026993
13407,30303M10,FB,54084,2012-06-29,31.095000,-0.008450,-0.008450
13407,30303M10,FB,54084,2012-07-02,30.771000,-0.010420,-0.010420
13407,30303M10,FB,54084,2012-07-03,31.200000,0.013942,0.013942
13407,30303M10,FB,54084,2012-07-05,31.470000,0.008654,0.008654
13407,30303M10,FB,54084,2012-07-06,31.730000,0.008262,0.008262
13407,30303M10,FB,54084,2012-07-09,32.170000,0.013867,0.013867
13407,30303M10,FB,54084,2012-07-10,31.470000,-0.021759,-0.021759
13407,30303M10,FB,54084,2012-07-11,30.970000,-0.015888,-0.015888
13407,30303M10,FB,54084,2012-07-12,30.810000,-0.005166,-0.005166
13407,30303M10,FB,54084,2012-07-13,30.720000,-0.002921,-0.002921
13407,30303M10,FB,54084,2012-07-16,28.245000,-0.080566,-0.080566
13407,30303M10,FB,54084,2012-07-17,28.090000,-0.005488,-0.005488
13407,30303M10,FB,54084,2012-07-18,29.110000,0.036312,0.036312
13407,30303M10,FB,54084,2012-07-19,29.000000,-0.003779,-0.003779
13407,30303M10,FB,54084,2012-07-20,28.760000,-0.008276,-0.008276
13407,30303M10,FB,54084,2012-07-23,28.750000,-0.000348,-0.000348
13407,30303M10,FB,54084,2012-07-24,28.450000,-0.010435,-0.010435
13407,30303M10,FB,54084,2012-07-25,29.340000,0.031283,0.031283
13407,30303M10,FB,54084,2012-07-26,26.845000,-0.085037,-0.085037
13407,30303M10,FB,54084,2012-07-27,23.705000,-0.116968,-0.116968
13407,30303M10,FB,54084,2012-07-30,23.150000,-0.023413,-0.023413
13407,30303M10,FB,54084,2012-07-31,21.710000,-0.062203,-0.062203
13407,30303M10,FB,54084,2012-08-01,20.880000,-0.038231,-0.038231
13407,30303M10,FB,54084,2012-08-02,20.040000,-0.040230,-0.040230
13407,30303M10,FB,54084,2012-08-03,21.090000,0.052395,0.052395
13407,30303M10,FB,54084,2012-08-06,21.920000,0.039355,0.039355
13407,30303M10,FB,54084,2012-08-07,20.720000,-0.054745,-0.054745
13407,30303M10,FB,54084,2012-08-08,20.720000,0.000000,0.000000
13407,30303M10,FB,54084,2012-08-09,21.010000,0.013996,0.013996
13407,30303M10,FB,54084,2012-08-10,21.807000,0.037934,0.037934
13407,30303M10,FB,54084,2012-08-13,21.600000,-0.009492,-0.009492
13407,30303M10,FB,54084,2012-08-14,20.380000,-0.056481,-0.056481
13407,30303M10,FB,54084,2012-08-15,21.200000,0.040236,0.040236
13407,30303M10,FB,54084,2012-08-16,19.870000,-0.062736,-0.062736
13407,30303M10,FB,54084,2012-08-17,19.050000,-0.041268,-0.041268
13407,30303M10,FB,54084,2012-08-20,20.011000,0.050446,0.050446
13407,30303M10,FB,54084,2012-08-21,19.159000,-0.042577,-0.042577
13407,30303M10,FB,54084,2012-08-22,19.439000,0.014615,0.014615
13407,30303M10,FB,54084,2012-08-23,19.440000,0.000051,0.000051
13407,30303M10,FB,54084,2012-08-24,19.409000,-0.001595,-0.001595
13407,30303M10,FB,54084,2012-08-27,19.150000,-0.013344,-0.013344
13407,30303M10,FB,54084,2012-08-28,19.340000,0.009922,0.009922
13407,30303M10,FB,54084,2012-08-29,19.100000,-0.012410,-0.012410
13407,30303M10,FB,54084,2012-08-30,19.088500,-0.000602,-0.000602
13407,30303M10,FB,54084,2012-08-31,18.058000,-0.053985,-0.053985
13407,30303M10,FB,54084,2012-09-04,17.729000,-0.018219,-0.018219
13407,30303M10,FB,54084,2012-09-05,18.580000,0.048000,0.048000
13407,30303M10,FB,54084,2012-09-06,18.960000,0.020452,0.020452
13407,30303M10,FB,54084,2012-09-07,18.980000,0.001055,0.001055
13407,30303M10,FB,54084,2012-09-10,18.810000,-0.008957,-0.008957
13407,30303M10,FB,54084,2012-09-11,19.430000,0.032961,0.032961
13407,30303M10,FB,54084,2012-09-12,20.931000,0.077252,0.077252
13407,30303M10,FB,54084,2012-09-13,20.713000,-0.010415,-0.010415
13407,30303M10,FB,54084,2012-09-14,22.000000,0.062135,0.062135
13407,30303M10,FB,54084,2012-09-17,21.520000,-0.021818,-0.021818
13407,30303M10,FB,54084,2012-09-18,21.870000,0.016264,0.016264
13407,30303M10,FB,54084,2012-09-19,23.290000,0.064929,0.064929
13407,30303M10,FB,54084,2012-09-20,22.590000,-0.030056,-0.030056
13407,30303M10,FB,54084,2012-09-21,22.860000,0.011952,0.011952
13407,30303M10,FB,54084,2012-09-24,20.790000,-0.090551,-0.090551
13407,30303M10,FB,54084,2012-09-25,20.280000,-0.024531,-0.024531
13407,30303M10,FB,54084,2012-09-26,20.620000,0.016765,0.016765
13407,30303M10,FB,54084,2012-09-27,20.320000,-0.014549,-0.014549
13407,30303M10,FB,54084,2012-09-28,21.660000,0.065945,0.065945
13407,30303M10,FB,54084,2012-10-01,21.990000,0.015235,0.015235
13407,30303M10,FB,54084,2012-10-02,22.270000,0.012733,0.012733
13407,30303M10,FB,54084,2012-10-03,21.830000,-0.019758,-0.019758
13407,30303M10,FB,54084,2012-10-04,21.947500,0.005383,0.005383
13407,30303M10,FB,54084,2012-10-05,20.910000,-0.047272,-0.047272
13407,30303M10,FB,54084,2012-10-08,20.400000,-0.024390,-0.024390
13407,30303M10,FB,54084,2012-10-09,20.227000,-0.008480,-0.008480
13407,30303M10,FB,54084,2012-10-10,19.640000,-0.029021,-0.029021
13407,30303M10,FB,54084,2012-10-11,19.750000,0.005601,0.005601
13407,30303M10,FB,54084,2012-10-12,19.518100,-0.011742,-0.011742
13407,30303M10,FB,54084,2012-10-15,19.520000,0.000097,0.000097
13407,30303M10,FB,54084,2012-10-16,19.480000,-0.002049,-0.002049
13407,30303M10,FB,54084,2012-10-17,19.880000,0.020534,0.020534
13407,30303M10,FB,54084,2012-10-18,18.975000,-0.045523,-0.045523
13407,30303M10,FB,54084,2012-10-19,19.000000,0.001318,0.001318
13407,30303M10,FB,54084,2012-10-22,19.321000,0.016895,0.016895
13407,30303M10,FB,54084,2012-10-23,19.500000,0.009265,0.009265
13407,30303M10,FB,54084,2012-10-24,23.229900,0.191277,0.191277
13407,30303M10,FB,54084,2012-10-25,22.560000,-0.028838,-0.028838
13407,30303M10,FB,54084,2012-10-26,21.942500,-0.027371,-0.027371
13407,30303M10,FB,54084,2012-10-31,21.110000,-0.037940,-0.037940
13407,30303M10,FB,54084,2012-11-01,21.210000,0.004737,0.004737
13407,30303M10,FB,54084,2012-11-02,21.180000,-0.001414,-0.001414
13407,30303M10,FB,54084,2012-11-05,21.250000,0.003305,0.003305
13407,30303M10,FB,54084,2012-11-06,21.171200,-0.003708,-0.003708
13407,30303M10,FB,54084,2012-11-07,20.470000,-0.033120,-0.033120
13407,30303M10,FB,54084,2012-11-08,19.990000,-0.023449,-0.023449
13407,30303M10,FB,54084,2012-11-09,19.210000,-0.039020,-0.039020
13407,30303M10,FB,54084,2012-11-12,20.070000,0.044768,0.044768
13407,30303M10,FB,54084,2012-11-13,19.860000,-0.010463,-0.010463
13407,30303M10,FB,54084,2012-11-14,22.360000,0.125881,0.125881
13407,30303M10,FB,54084,2012-11-15,22.170000,-0.008497,-0.008497
13407,30303M10,FB,54084,2012-11-16,23.560700,0.062729,0.062729
13407,30303M10,FB,54084,2012-11-19,22.920000,-0.027194,-0.027194
13407,30303M10,FB,54084,2012-11-20,23.100000,0.007853,0.007853
13407,30303M10,FB,54084,2012-11-21,24.320000,0.052814,0.052814
13407,30303M10,FB,54084,2012-11-23,23.998000,-0.013240,-0.013240
13407,30303M10,FB,54084,2012-11-26,25.940000,0.080923,0.080923
13407,30303M10,FB,54084,2012-11-27,26.150000,0.008096,0.008096
13407,30303M10,FB,54084,2012-11-28,26.360000,0.008031,0.008031
13407,30303M10,FB,54084,2012-11-29,27.320000,0.036419,0.036419
13407,30303M10,FB,54084,2012-11-30,28.000000,0.024890,0.024890
13407,30303M10,FB,54084,2012-12-03,27.040000,-0.034286,-0.034286
13407,30303M10,FB,54084,2012-12-04,27.460000,0.015533,0.015533
13407,30303M10,FB,54084,2012-12-05,27.710000,0.009104,0.009104
13407,30303M10,FB,54084,2012-12-06,26.970000,-0.026705,-0.026705
13407,30303M10,FB,54084,2012-12-07,27.485000,0.019095,0.019095
13407,30303M10,FB,54084,2012-12-10,27.840000,0.012916,0.012916
13407,30303M10,FB,54084,2012-12-11,27.980000,0.005029,0.005029
13407,30303M10,FB,54084,2012-12-12,27.580100,-0.014292,-0.014292
13407,30303M10,FB,54084,2012-12-13,28.240000,0.023927,0.023927
13407,30303M10,FB,54084,2012-12-14,26.812000,-0.050567,-0.050567
13407,30303M10,FB,54084,2012-12-17,26.750000,-0.002312,-0.002312
13407,30303M10,FB,54084,2012-12-18,27.710000,0.035888,0.035888
13407,30303M10,FB,54084,2012-12-19,27.410000,-0.010826,-0.010826
13407,30303M10,FB,54084,2012-12-20,27.360000,-0.001824,-0.001824
13407,30303M10,FB,54084,2012-12-21,26.260000,-0.040205,-0.040205
13407,30303M10,FB,54084,2012-12-24,26.930000,0.025514,0.025514
13407,30303M10,FB,54084,2012-12-26,26.510000,-0.015596,-0.015596
13407,30303M10,FB,54084,2012-12-27,26.050000,-0.017352,-0.017352
13407,30303M10,FB,54084,2012-12-28,25.911200,-0.005328,-0.005328
13407,30303M10,FB,54084,2012-12-31,26.619700,0.027343,0.027343
13407,30303M10,FB,54084,2013-01-02,28.000000,0.051853,0.051853
13407,30303M10,FB,54084,2013-01-03,27.770000,-0.008214,-0.008214
13407,30303M10,FB,54084,2013-01-04,28.760000,0.035650,0.035650
13407,30303M10,FB,54084,2013-01-07,29.421300,0.022994,0.022994
13407,30303M10,FB,54084,2013-01-08,29.060700,-0.012256,-0.012256
13407,30303M10,FB,54084,2013-01-09,30.590000,0.052624,0.052624
13407,30303M10,FB,54084,2013-01-10,31.300000,0.023210,0.023210
13407,30303M10,FB,54084,2013-01-11,31.720000,0.013419,0.013419
13407,30303M10,FB,54084,2013-01-14,30.947500,-0.024354,-0.024354
13407,30303M10,FB,54084,2013-01-15,30.100000,-0.027385,-0.027385
13407,30303M10,FB,54084,2013-01-16,29.850000,-0.008306,-0.008306
13407,30303M10,FB,54084,2013-01-17,30.140000,0.009715,0.009715
13407,30303M10,FB,54084,2013-01-18,29.660000,-0.015926,-0.015926
13407,30303M10,FB,54084,2013-01-22,30.729000,0.036042,0.036042
13407,30303M10,FB,54084,2013-01-23,30.820000,0.002961,0.002961
13407,30303M10,FB,54084,2013-01-24,31.080000,0.008436,0.008436
13407,30303M10,FB,54084,2013-01-25,31.540000,0.014801,0.014801
13407,30303M10,FB,54084,2013-01-28,32.469000,0.029455,0.029455
13407,30303M10,FB,54084,2013-01-29,30.790000,-0.051711,-0.051711
13407,30303M10,FB,54084,2013-01-30,31.240000,0.014615,0.014615
13407,30303M10,FB,54084,2013-01-31,30.981000,-0.008291,-0.008291
13407,30303M10,FB,54084,2013-02-01,29.730000,-0.040380,-0.040380
13407,30303M10,FB,54084,2013-02-04,28.109000,-0.054524,-0.054524
13407,30303M10,FB,54084,2013-02-05,28.640000,0.018891,0.018891
13407,30303M10,FB,54084,2013-02-06,29.050000,0.014316,0.014316
13407,30303M10,FB,54084,2013-02-07,28.650000,-0.013769,-0.013769
13407,30303M10,FB,54084,2013-02-08,28.545000,-0.003665,-0.003665
13407,30303M10,FB,54084,2013-02-11,28.260000,-0.009984,-0.009984
13407,30303M10,FB,54084,2013-02-12,27.370000,-0.031493,-0.031493
13407,30303M10,FB,54084,2013-02-13,27.907500,0.019638,0.019638
13407,30303M10,FB,54084,2013-02-14,28.500000,0.021231,0.021231
13407,30303M10,FB,54084,2013-02-15,28.320000,-0.006316,-0.006316
13407,30303M10,FB,54084,2013-02-19,28.930000,0.021540,0.021540
13407,30303M10,FB,54084,2013-02-20,28.462000,-0.016177,-0.016177
13407,30303M10,FB,54084,2013-02-21,27.283000,-0.041424,-0.041424
13407,30303M10,FB,54084,2013-02-22,27.130000,-0.005608,-0.005608
13407,30303M10,FB,54084,2013-02-25,27.270000,0.005160,0.005160
13407,30303M10,FB,54084,2013-02-26,27.390000,0.004400,0.004400
13407,30303M10,FB,54084,2013-02-27,26.870000,-0.018985,-0.018985
13407,30303M10,FB,54084,2013-02-28,27.250000,0.014142,0.014142
13407,30303M10,FB,54084,2013-03-01,27.780000,0.019450,0.019450
13407,30303M10,FB,54084,2013-03-04,27.720000,-0.002160,-0.002160
13407,30303M10,FB,54084,2013-03-05,27.520000,-0.007215,-0.007215
13407,30303M10,FB,54084,2013-03-06,27.452500,-0.002453,-0.002453
13407,30303M10,FB,54084,2013-03-07,28.578000,0.040998,0.040998
13407,30303M10,FB,54084,2013-03-08,27.960000,-0.021625,-0.021625
13407,30303M10,FB,54084,2013-03-11,28.140000,0.006438,0.006438
13407,30303M10,FB,54084,2013-03-12,27.830000,-0.011016,-0.011016
13407,30303M10,FB,54084,2013-03-13,27.080000,-0.026949,-0.026949
13407,30303M10,FB,54084,2013-03-14,27.040000,-0.001477,-0.001477
