PERMNO,HdrCUSIP,Ticker,PERMCO,DlyCalDt,DlyPrc,DlyRet,DlyRetx
13407,30303M10,FB,54084,2013-03-15,26.645000,-0.014608,-0.014608
13407,30303M10,FB,54084,2013-03-18,26.490000,-0.005817,-0.005817
13407,30303M10,FB,54084,2013-03-19,26.550000,0.002265,0.002265
13407,30303M10,FB,54084,2013-03-20,25.860000,-0.025989,-0.025989
13407,30303M10,FB,54084,2013-03-21,25.740000,-0.004640,-0.004640
13407,30303M10,FB,54084,2013-03-22,25.730000,-0.000389,-0.000389
13407,30303M10,FB,54084,2013-03-25,25.131000,-0.023280,-0.023280
13407,30303M10,FB,54084,2013-03-26,25.205000,0.002945,0.002945
13407,30303M10,FB,54084,2013-03-27,26.090000,0.035112,0.035112
13407,30303M10,FB,54084,2013-03-28,25.580000,-0.019548,-0.019548
13407,30303M10,FB,54084,2013-04-01,25.530000,-0.001955,-0.001955
13407,30303M10,FB,54084,2013-04-02,25.420000,-0.004309,-0.004309
13407,30303M10,FB,54084,2013-04-03,26.250000,0.032651,0.032651
13407,30303M10,FB,54084,2013-04-04,27.072500,0.031333,0.031333
13407,30303M10,FB,54084,2013-04-05,27.390000,0.011728,0.011728
13407,30303M10,FB,54084,2013-04-08,26.849000,-0.019752,-0.019752
13407,30303M10,FB,54084,2013-04-09,26.590000,-0.009647,-0.009647
13407,30303M10,FB,54084,2013-04-10,27.570000,0.036856,0.036856
13407,30303M10,FB,54084,2013-04-11,28.017500,0.016231,0.016231
13407,30303M10,FB,54084,2013-04-12,27.400000,-0.022040,-0.022040
13407,30303M10,FB,54084,2013-04-15,26.520000,-0.032117,-0.032117
13407,30303M10,FB,54084,2013-04-16,26.920000,0.015083,0.015083
13407,30303M10,FB,54084,2013-04-17,26.625000,-0.010958,-0.010958
13407,30303M10,FB,54084,2013-04-18,25.690000,-0.035117,-0.035117
13407,30303M10,FB,54084,2013-04-19,25.730000,0.001557,0.001557
13407,30303M10,FB,54084,2013-04-22,25.970000,0.009328,0.009328
13407,30303M10,FB,54084,2013-04-23,25.980000,0.000385,0.000385
13407,30303M10,FB,54084,2013-04-24,26.110000,0.005004,0.005004
13407,30303M10,FB,54084,2013-04-25,26.140000,0.001149,0.001149
13407,30303M10,FB,54084,2013-04-26,26.850000,0.027161,0.027161
13407,30303M10,FB,54084,2013-04-29,26.980000,0.004842,0.004842
13407,30303M10,FB,54084,2013-04-30,27.769000,0.029244,0.029244
13407,30303M10,FB,54084,2013-05-01,27.430000,-0.012208,-0.012208
13407,30303M10,FB,54084,2013-05-02,28.970000,0.056143,0.056143
13407,30303M10,FB,54084,2013-05-03,28.311000,-0.022748,-0.022748
13407,30303M10,FB,54084,2013-05-06,27.570000,-0.026174,-0.026174
13407,30303M10,FB,54084,2013-05-07,26.889000,-0.024701,-0.024701
13407,30303M10,FB,54084,2013-05-08,27.120000,0.008591,0.008591
13407,30303M10,FB,54084,2013-05-09,27.040000,-0.002950,-0.002950
13407,30303M10,FB,54084,2013-05-10,26.680000,-0.013314,-0.013314
13407,30303M10,FB,54084,2013-05-13,26.820000,0.005247,0.005247
13407,30303M10,FB,54084,2013-05-14,27.070000,0.009321,0.009321
13407,30303M10,FB,54084,2013-05-15,26.600000,-0.017362,-0.017362
13407,30303M10,FB,54084,2013-05-16,26.130000,-0.017669,-0.017669
13407,30303M10,FB,54084,2013-05-17,26.250000,0.004592,0.004592
13407,30303M10,FB,54084,2013-05-20,25.759000,-0.018705,-0.018705
13407,30303M10,FB,54084,2013-05-21,25.660000,-0.003843,-0.003843
13407,30303M10,FB,54084,2013-05-22,25.159000,-0.019525,-0.019525
13407,30303M10,FB,54084,2013-05-23,25.060000,-0.003935,-0.003935
13407,30303M10,FB,54084,2013-05-24,24.312500,-0.029828,-0.029828
13407,30303M10,FB,54084,2013-05-28,24.100000,-0.008740,-0.008740
13407,30303M10,FB,54084,2013-05-29,23.320000,-0.032365,-0.032365
13407,30303M10,FB,54084,2013-05-30,24.550000,0.052744,0.052744
13407,30303M10,FB,54084,2013-05-31,24.348000,-0.008228,-0.008228
13407,30303M10,FB,54084,2013-06-03,23.848000,-0.020536,-0.020536
13407,30303M10,FB,54084,2013-06-04,23.520000,-0.013754,-0.013754
13407,30303M10,FB,54084,2013-06-05,22.899000,-0.026403,-0.026403
13407,30303M10,FB,54084,2013-06-06,22.970000,0.003101,0.003101
13407,30303M10,FB,54084,2013-06-07,23.291000,0.013975,0.013975
13407,30303M10,FB,54084,2013-06-10,24.330000,0.044610,0.044610
13407,30303M10,FB,54084,2013-06-11,24.030000,-0.012330,-0.012330
13407,30303M10,FB,54084,2013-06-12,23.770000,-0.010820,-0.010820
13407,30303M10,FB,54084,2013-06-13,23.730000,-0.001683,-0.001683
13407,30303M10,FB,54084,2013-06-14,23.630000,-0.004214,-0.004214
13407,30303M10,FB,54084,2013-06-17,24.022000,0.016589,0.016589
13407,30303M10,FB,54084,2013-06-18,24.210000,0.007826,0.007826
13407,30303M10,FB,54084,2013-06-19,24.309000,0.004089,0.004089
13407,30303M10,FB,54084,2013-06-20,23.900000,-0.016825,-0.016825
13407,30303M10,FB,54084,2013-06-21,24.530000,0.026360,0.026360
13407,30303M10,FB,54084,2013-06-24,23.935000,-0.024256,-0.024256
13407,30303M10,FB,54084,2013-06-25,24.250000,0.013161,0.013161
13407,30303M10,FB,54084,2013-06-26,24.160000,-0.003711,-0.003711
13407,30303M10,FB,54084,2013-06-27,24.660000,0.020695,0.020695
13407,30303M10,FB,54084,2013-06-28,24.880000,0.008921,0.008921
13407,30303M10,FB,54084,2013-07-01,24.810000,-0.002814,-0.002814
13407,30303M10,FB,54084,2013-07-02,24.410000,-0.016123,-0.016123
13407,30303M10,FB,54084,2013-07-03,24.520000,0.004506,0.004506
13407,30303M10,FB,54084,2013-07-05,24.370000,-0.006117,-0.006117
13407,30303M10,FB,54084,2013-07-08,24.710000,0.013952,0.013952
13407,30303M10,FB,54084,2013-07-09,25.480000,0.031161,0.031161
13407,30303M10,FB,54084,2013-07-10,25.800000,0.012559,0.012559
13407,30303M10,FB,54084,2013-07-11,25.810000,0.000388,0.000388
13407,30303M10,FB,54084,2013-07-12,25.910000,0.003874,0.003874
13407,30303M10,FB,54084,2013-07-15,26.280000,0.014280,0.014280
13407,30303M10,FB,54084,2013-07-16,26.320000,0.001522,0.001522
13407,30303M10,FB,54084,2013-07-17,26.650000,0.012538,0.012538
13407,30303M10,FB,54084,2013-07-18,26.180000,-0.017636,-0.017636
13407,30303M10,FB,54084,2013-07-19,25.881000,-0.011421,-0.011421
13407,30303M10,FB,54084,2013-07-22,26.045000,0.006337,0.006337
13407,30303M10,FB,54084,2013-07-23,26.130000,0.003264,0.003264
13407,30303M10,FB,54084,2013-07-24,26.510000,0.014543,0.014543
13407,30303M10,FB,54084,2013-07-25,34.359000,0.296077,0.296077
13407,30303M10,FB,54084,2013-07-26,34.010000,-0.010157,-0.010157
13407,30303M10,FB,54084,2013-07-29,35.430000,0.041752,0.041752
13407,30303M10,FB,54084,2013-07-30,37.627000,0.062010,0.062010
13407,30303M10,FB,54084,2013-07-31,36.800000,-0.021979,-0.021979
13407,30303M10,FB,54084,2013-08-01,37.489000,0.018723,0.018723
13407,30303M10,FB,54084,2013-08-02,38.050000,0.014964,0.014964
13407,30303M10,FB,54084,2013-08-05,39.189000,0.029934,0.029934
13407,30303M10,FB,54084,2013-08-06,38.550000,-0.016306,-0.016306
13407,30303M10,FB,54084,2013-08-07,38.870000,0.008301,0.008301
13407,30303M10,FB,54084,2013-08-08,38.540000,-0.008490,-0.008490
13407,30303M10,FB,54084,2013-08-09,38.500000,-0.001038,-0.001038
13407,30303M10,FB,54084,2013-08-12,38.220000,-0.007273,-0.007273
13407,30303M10,FB,54084,2013-08-13,37.019000,-0.031423,-0.031423
13407,30303M10,FB,54084,2013-08-14,36.650000,-0.009968,-0.009968
13407,30303M10,FB,54084,2013-08-15,36.560000,-0.002456,-0.002456
13407,30303M10,FB,54084,2013-08-16,37.080000,0.014223,0.014223
13407,30303M10,FB,54084,2013-08-19,37.810000,0.019687,0.019687
13407,30303M10,FB,54084,2013-08-20,38.410000,0.015869,0.015869
13407,30303M10,FB,54084,2013-08-21,38.320000,-0.002343,-0.002343
13407,30303M10,FB,54084,2013-08-22,38.550000,0.006002,0.006002
13407,30303M10,FB,54084,2013-08-23,40.550000,0.051881,0.051881
13407,30303M10,FB,54084,2013-08-26,41.340000,0.019482,0.019482
13407,30303M10,FB,54084,2013-08-27,39.640000,-0.041122,-0.041122
13407,30303M10,FB,54084,2013-08-28,40.548000,0.022906,0.022906
13407,30303M10,FB,54084,2013-08-29,41.280000,0.018053,0.018053
13407,30303M10,FB,54084,2013-08-30,41.294000,0.000339,0.000339
13407,30303M10,FB,54084,2013-09-03,41.870000,0.013949,0.013949
13407,30303M10,FB,54084,2013-09-04,41.780000,-0.002150,-0.002150
13407,30303M10,FB,54084,2013-09-05,42.660000,0.021063,0.021063
13407,30303M10,FB,54084,2013-09-06,43.950000,0.030239,0.030239
13407,30303M10,FB,54084,2013-09-09,44.040000,0.002048,0.002048
13407,30303M10,FB,54084,2013-09-10,43.600000,-0.009991,-0.009991
13407,30303M10,FB,54084,2013-09-11,45.040000,0.033028,0.033028
13407,30303M10,FB,54084,2013-09-12,44.750000,-0.006439,-0.006439
13407,30303M10,FB,54084,2013-09-13,44.310000,-0.009832,-0.009832
13407,30303M10,FB,54084,2013-09-16,42.510000,-0.040623,-0.040623
13407,30303M10,FB,54084,2013-09-17,45.070000,0.060221,0.060221
13407,30303M10,FB,54084,2013-09-18,45.230000,0.003550,0.003550
13407,30303M10,FB,54084,2013-09-19,45.980000,0.016582,0.016582
13407,30303M10,FB,54084,2013-09-20,47.490000,0.032840,0.032840
13407,30303M10,FB,54084,2013-09-23,47.190000,-0.006317,-0.006317
13407,30303M10,FB,54084,2013-09-24,48.450000,0.026701,0.026701
13407,30303M10,FB,54084,2013-09-25,49.460000,0.020846,0.020846
13407,30303M10,FB,54084,2013-09-26,50.390000,0.018803,0.018803
13407,30303M10,FB,54084,2013-09-27,51.240000,0.016868,0.016868
13407,30303M10,FB,54084,2013-09-30,50.230000,-0.019711,-0.019711
13407,30303M10,FB,54084,2013-10-01,50.420000,0.003783,0.003783
13407,30303M10,FB,54084,2013-10-02,50.280000,-0.002777,-0.002777
13407,30303M10,FB,54084,2013-10-03,49.183000,-0.021818,-0.021818
13407,30303M10,FB,54084,2013-10-04,51.040000,0.037757,0.037757
13407,30303M10,FB,54084,2013-10-07,50.515000,-0.010286,-0.010286
13407,30303M10,FB,54084,2013-10-08,47.140000,-0.066812,-0.066812
13407,30303M10,FB,54084,2013-10-09,46.770000,-0.007849,-0.007849
13407,30303M10,FB,54084,2013-10-10,49.050000,0.048749,0.048749
13407,30303M10,FB,54084,2013-10-11,49.110000,0.001223,0.001223
13407,30303M10,FB,54084,2013-10-14,49.510000,0.008145,0.008145
13407,30303M10,FB,54084,2013-10-15,49.500000,-0.000202,-0.000202
13407,30303M10,FB,54084,2013-10-16,51.135000,0.033030,0.033030
13407,30303M10,FB,54084,2013-10-17,52.210000,0.021023,0.021023
13407,30303M10,FB,54084,2013-10-18,54.220000,0.038498,0.038498
13407,30303M10,FB,54084,2013-10-21,53.850000,-0.006824,-0.006824
13407,30303M10,FB,54084,2013-10-22,52.675000,-0.021820,-0.021820
13407,30303M10,FB,54084,2013-10-23,51.900000,-0.014713,-0.014713
13407,30303M10,FB,54084,2013-10-24,52.445000,0.010501,0.010501
13407,30303M10,FB,54084,2013-10-25,51.950000,-0.009438,-0.009438
13407,30303M10,FB,54084,2013-10-28,50.229000,-0.033128,-0.033128
13407,30303M10,FB,54084,2013-10-29,49.395000,-0.016604,-0.016604
13407,30303M10,FB,54084,2013-10-30,49.010000,-0.007794,-0.007794
13407,30303M10,FB,54084,2013-10-31,50.205000,0.024383,0.024383
13407,30303M10,FB,54084,2013-11-01,49.750000,-0.009063,-0.009063
13407,30303M10,FB,54084,2013-11-04,48.220000,-0.030754,-0.030754
13407,30303M10,FB,54084,2013-11-05,50.105000,0.039092,0.039092
13407,30303M10,FB,54084,2013-11-06,49.120000,-0.019659,-0.019659
13407,30303M10,FB,54084,2013-11-07,47.560000,-0.031759,-0.031759
13407,30303M10,FB,54084,2013-11-08,47.530000,-0.000631,-0.000631
13407,30303M10,FB,54084,2013-11-11,46.200000,-0.027982,-0.027982
13407,30303M10,FB,54084,2013-11-12,46.605000,0.008766,0.008766
13407,30303M10,FB,54084,2013-11-13,48.710000,0.045167,0.045167
13407,30303M10,FB,54084,2013-11-14,48.990000,0.005748,0.005748
13407,30303M10,FB,54084,2013-11-15,49.010000,0.000408,0.000408
13407,30303M10,FB,54084,2013-11-18,45.830000,-0.064885,-0.064885
13407,30303M10,FB,54084,2013-11-19,46.360000,0.011564,0.011564
13407,30303M10,FB,54084,2013-11-20,46.430000,0.001510,0.001510
13407,30303M10,FB,54084,2013-11-21,46.700000,0.005815,0.005815
13407,30303M10,FB,54084,2013-11-22,46.230000,-0.010064,-0.010064
13407,30303M10,FB,54084,2013-11-25,44.820000,-0.030500,-0.030500
13407,30303M10,FB,54084,2013-11-26,45.890000,0.023873,0.023873
13407,30303M10,FB,54084,2013-11-27,46.490000,0.013075,0.013075
13407,30303M10,FB,54084,2013-11-29,47.010000,0.011185,0.011185
13407,30303M10,FB,54084,2013-12-02,47.060000,0.001064,0.001064
13407,30303M10,FB,54084,2013-12-03,46.730000,-0.007012,-0.007012
13407,30303M10,FB,54084,2013-12-04,48.620000,0.040445,0.040445
13407,30303M10,FB,54084,2013-12-05,48.340000,-0.005759,-0.005759
13407,30303M10,FB,54084,2013-12-06,47.940000,-0.008275,-0.008275
13407,30303M10,FB,54084,2013-12-09,48.840000,0.018773,0.018773
13407,30303M10,FB,54084,2013-12-10,50.245000,0.028767,0.028767
13407,30303M10,FB,54084,2013-12-11,49.380000,-0.017216,-0.017216
13407,30303M10,FB,54084,2013-12-12,51.830000,0.049615,0.049615
13407,30303M10,FB,54084,2013-12-13,53.320000,0.028748,0.028748
13407,30303M10,FB,54084,2013-12-16,53.810000,0.009190,0.009190
13407,30303M10,FB,54084,2013-12-17,54.860000,0.019513,0.019513
13407,30303M10,FB,54084,2013-12-18,55.570000,0.012942,0.012942
13407,30303M10,FB,54084,2013-12-19,55.050000,-0.009358,-0.009358
13407,30303M10,FB,54084,2013-12-20,55.120000,0.001272,0.001272
13407,30303M10,FB,54084,2013-12-23,57.770000,0.048077,0.048077
13407,30303M10,FB,54084,2013-12-24,57.960000,0.003289,0.003289
13407,30303M10,FB,54084,2013-12-26,57.730000,-0.003968,-0.003968
13407,30303M10,FB,54084,2013-12-27,55.440000,-0.039667,-0.039667
13407,30303M10,FB,54084,2013-12-30,53.710000,-0.031205,-0.031205
13407,30303M10,FB,54084,2013-12-31,54.649000,0.017483,0.017483
13407,30303M10,FB,54084,2014-01-02,54.710000,0.001116,0.001116
13407,30303M10,FB,54084,2014-01-03,54.557000,-0.002797,-0.002797
13407,30303M10,FB,54084,2014-01-06,57.200000,0.048445,0.048445
13407,30303M10,FB,54084,2014-01-07,57.920000,0.012587,0.012587
13407,30303M10,FB,54084,2014-01-08,58.230000,0.005352,0.005352
